objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
nccucampusecho001,https://newspapers.digitalnc.org/lccn/2015236599/1967-01-31/ed-1/seq-1/,,Jones Appointed Vice-President,application/pdf,Wiliam Jones was appointed as vice-president for financial affairs. Jones' has twenty six yers of service as a business manager in NC. ,,NCCU Students,01-31-1967,,single-page; newspaper,Finnacal affairs vice-president,"Durham, NC",,,,,DigtalNc.org,,,1967.01.31.1.jonesappointedvicepresident,https://rightsstatements.org/vocab/InC-EDU/1.0/,Educational Use,Text,eng,
nccucampusecho002,https://newspapers.digitalnc.org/lccn/2015236599/1967-01-31/ed-1/seq-1/,,Athletic Director Earns Doctorate ,application/pdf,James W. Younge completed all the requirements for the Ed.D. degree at Temple University. He has been on the NCC falculty since 1949. He is the athletic director and assistant professor,,NCCU Students,01-31-1967,,single-page; newspaper,Athletic director,"Durham, NC",,,,,DigtalNc.org,,,1967.01.31.1.athleticdirectorearnsdoctorate,https://rightsstatements.org/vocab/InC-EDU/1.0/,Educational Use,Text,eng,
nccucampusecho003,https://newspapers.digitalnc.org/lccn/2015236599/1967-01-31/ed-1/seq-1/,,23 NCC Students Make 'Whos's Who',application/pdf,"Twenty NCC students were nominated for ""Who's Who Among Students in American Universites and Colleges"", based on their academics, campus citzenship, etc.",,NCCU Students,01-31-1967,,single-page; newspaper,Nominations,"Durham, NC",,,,,DigtalNc.org,,,1967.01.31.1.23nccstudentsmakewhoswho,https://rightsstatements.org/vocab/InC-EDU/1.0/,Educational Use,Text,eng,
nccucampusecho004,https://newspapers.digitalnc.org/lccn/2015236599/1967-01-31/ed-1/seq-1/,,President-Elect Calls For Student Involment ,application/pdf,"Address to the college by Dr. Albert N. Whiting, urging students to become more involved in the college community.",,NCCU Students,01-31-1967,,single-page; newspaper,Student involment,"Durham, NC",,,,,DigtalNc.org,,,1967.01.31.1.presidentelectcallsforstudentinvolment,https://rightsstatements.org/vocab/InC-EDU/1.0/,Educational Use,Text,eng,
nccucampusecho005,https://newspapers.digitalnc.org/lccn/2015236599/1967-01-31/ed-1/seq-1/,,Recrutiers Busy On NCC Campus ,application/pdf,Wiliam P. Malone revealed that more than three hundread representatives from various frims and agencies will vist the campus.,,NCCU Students,01-31-1967,,single-page; newspaper,Representatives,"Durham, NC",,,,,DigtalNc.org,,,1967.01.31.1.recrutiersbusyonncccampus,https://rightsstatements.org/vocab/InC-EDU/1.0/,Educational Use,Text,eng,
nccucampusecho006,https://newspapers.digitalnc.org/lccn/2015236599/1967-01-31/ed-1/seq-1/,,Governor's Office Offers Internship ,application/pdf,Twenty five students intrested in state government will be choosen for an eleven week internship program.,,NCCU Students,01-31-1967,,single-page; newspaper,Government intership,"Durham, NC",,,,,DigtalNc.org,,,1967.01.31.1.governorsofficeoffersinterships,https://rightsstatements.org/vocab/InC-EDU/1.0/,Educational Use,Text,eng,
nccucampusecho007,https://newspapers.digitalnc.org/lccn/2015236599/1967-01-31/ed-1/seq-1/,,Union Bridge Class Commences Feb.7,application/pdf,Classes in learning how to play bridge ,,NCCU Students,01-31-1967,,single-page; newspaper,Bridge,"Durham, NC",,,,,DigtalNc.org,,,1967.01.31.1.unionbridgeclasscommencesonfeb7,https://rightsstatements.org/vocab/InC-EDU/1.0/,Educational Use,Text,eng,
nccucampusecho008,https://newspapers.digitalnc.org/lccn/2015236599/1967-01-31/ed-1/seq-2/,,Drs. Brewer And Thrope Talk On Negro College ,application/pdf,The role of predominantly black institutions in higher education,,NCCU Students,01-31-1967,,single-page; newspaper,Predominatly black instiutions,"Durham, NC",,,,,DigtalNc.org,,,1967.01.31.2.drsbrewerandthropetalkonnegrocollege,https://rightsstatements.org/vocab/InC-EDU/1.0/,Educational Use,Text,eng,
nccucampusecho009,https://newspapers.digitalnc.org/lccn/2015236599/1967-01-31/ed-1/seq-2/,,CORE Calls For Politcal Unity ,application/pdf,Urging people to come together in order to fight discrimination,,NCCU Students,01-31-1967,,single-page; newspaper,Fighting discrimination,"Durham, NC",,,,,DigtalNc.org,,,1967.01.31.2.corecallsforpolitcalunity,https://rightsstatements.org/vocab/InC-EDU/1.0/,Educational Use,Text,eng,
nccucampusecho010,https://newspapers.digitalnc.org/lccn/2015236599/1967-01-31/ed-1/seq-2/,,LSAT TEST TO BE GIVEN,application/pdf,Law school admissions test to be given feburary eleventh,,NCCU Students,01-31-1967,,single-page; newspaper,LSATS,"Durham, NC",,,,,DigtalNc.org,,,1967.01.31.2.lsattesttobegiven,https://rightsstatements.org/vocab/InC-EDU/1.0/,Educational Use,Text,eng,
nccucampusecho011,https://newspapers.digitalnc.org/lccn/2015236599/1967-01-31/ed-1/seq-2/,,Concerned Student Quizzes Officals,application/pdf,A student questioning why the other sport teams are better,,NCCU Students,01-31-1967,,single-page; newspaper,Sports,"Durham, NC",,,,,DigtalNc.org,,,1967.01.31.2.concernedstudentquizzesofficals,https://rightsstatements.org/vocab/InC-EDU/1.0/,Educational Use,Text,eng,
nccucampusecho012,https://newspapers.digitalnc.org/lccn/2015236599/1967-01-31/ed-1/seq-2/,,Do You Know What's In The Library?,application/pdf,A brief description of the collection held in the library,,NCCU Students,01-31-1967,,single-page; newspaper,Library ,"Durham, NC",,,,,DigtalNc.org,,,1967.01.31.2.doyouknowwhatsinthelibrary,https://rightsstatements.org/vocab/InC-EDU/1.0/,Educational Use,Text,eng,
nccucampusecho013,https://newspapers.digitalnc.org/lccn/2015236599/1967-01-31/ed-1/seq-2/,,Frosh President Comments On Talk,application/pdf,Freshman president commenting on the president elects speech,,NCCU Students,01-31-1967,,single-page; newspaper,Freshman President,"Durham, NC",,,,,DigtalNc.org,,,1967.01.31.2.froshpresidentcommentsontalk,https://rightsstatements.org/vocab/InC-EDU/1.0/,Educational Use,Text,eng,
nccucampusecho014,https://newspapers.digitalnc.org/lccn/2015236599/1967-01-31/ed-1/seq-2/,,Lyceum Program Sponsors Recital,application/pdf,Giorgia Ciompi partcipating in a recital ,,NCCU Students,01-31-1967,,single-page; newspaper,Lyceum ,"Durham, NC",,,,,DigtalNc.org,,,1967.01.31.2.lyceumprogramsponsorsrecital,https://rightsstatements.org/vocab/InC-EDU/1.0/,Educational Use,Text,eng,
nccucampusecho015,https://newspapers.digitalnc.org/lccn/2015236599/1967-01-31/ed-1/seq-3/,,Physicist To Vist As Guest Lecturer,application/pdf,Professor Clifford E. Swartz from New York State University visitng for a lecture,,NCCU Students,01-31-1967,,single-page; newspaper,Physics lecture,"Durham, NC",,,,,DigtalNc.org,,,1967.01.31.3.physicisttovistasguestlecturer,https://rightsstatements.org/vocab/InC-EDU/1.0/,Educational Use,Text,eng,
nccucampusecho016,https://newspapers.digitalnc.org/lccn/2015236599/1967-01-31/ed-1/seq-3/,,President-Elect ,application/pdf,Article from page one continuned,,NCCU Students,01-31-1967,,single-page; newspaper,President-Elect,"Durham, NC",,,,,DigtalNc.org,,,1967.01.31.3.presidentelect,https://rightsstatements.org/vocab/InC-EDU/1.0/,Educational Use,Text,eng,
nccucampusecho017,https://newspapers.digitalnc.org/lccn/2015236599/1967-01-31/ed-1/seq-3/,,Lyceum Program ,application/pdf,Article from page two continued,,NCCU Students,01-31-1967,,single-page; newspaper,Lyceum ,"Durham, NC",,,,,DigtalNc.org,,,1967.01.31.3.lyceumprogram,https://rightsstatements.org/vocab/InC-EDU/1.0/,Educational Use,Text,eng,
nccucampusecho018,https://newspapers.digitalnc.org/lccn/2015236599/1967-01-31/ed-1/seq-3/,,LSAT Test ,application/pdf,Article from page two continued,,NCCU Students,01-31-1967,,single-page; newspaper,LSATS,"Durham, NC",,,,,DigtalNc.org,,,1967.01.31.3.lsattest,https://rightsstatements.org/vocab/InC-EDU/1.0/,Educational Use,Text,eng,
nccucampusecho019,https://newspapers.digitalnc.org/lccn/2015236599/1967-01-31/ed-1/seq-3/,,Suggestions Made On Food Service ,application/pdf,Improvements that can be made to the cafeteria,,NCCU Students,01-31-1967,,single-page; newspaper,Cafeteria improvments,"Durham, NC",,,,,DigtalNc.org,,,1967.01.31.3.suggestionsmadeonfoodservice,https://rightsstatements.org/vocab/InC-EDU/1.0/,Educational Use,Text,eng,
nccucampusecho020,https://newspapers.digitalnc.org/lccn/2015236599/1967-01-31/ed-1/seq-4/,,"GENTLEMAN, WHY DO WE HAVE EAGLEMANIA?",application/pdf,Commentary on the backlash coach Flyod Brown is facing,Douglas Gills,NCCU Students,01-31-1967,,single-page; newspaper,Sport backlash,"Durham, NC",,,,,DigtalNc.org,,,1967.01.31.4.gentlemanwhydowehaveeaglemania,https://rightsstatements.org/vocab/InC-EDU/1.0/,Educational Use,Text,eng,
nccucampusecho021,https://newspapers.digitalnc.org/lccn/2015236599/1967-05-26/ed-1/seq-1/,,College Officials Issue Strong Policy Statement,application/pdf,"Female sophomore students wanted better housing due to their class and petitioned by doing sit-ins, defacing property, and got males to enter the female only dorms",,NCCU Students and Staff,05-26-1967,,single-page; newspaper,Student Disturbances on Campus,"Durham, NC",,,,,DigitalNC.org,,,1967.05.26.1.collegeofficialsissuestrongpolicystatement,https://rightsstatements.org/vocab/InC-EDU/1.0/,Educational Use,Text,eng,
nccucampusecho022,https://newspapers.digitalnc.org/lccn/2015236599/1967-05-26/ed-1/seq-1/,,Students Honored on Awards Day,application/pdf,"373 students and one faculty member of NCCU recieved awards for their scholarship, athletics, or involvement in campus activities",,NCCU Students and Staff,05-26-1967,,single-page; newspaper,Awards Day,"Durham, NC",,,,,DigitalNC.org,,,1967.05.26.1.studentshonoredonawardsday,https://rightsstatements.org/vocab/InC-EDU/1.0/,Educational Use,Text,eng,
nccucampusecho023,https://newspapers.digitalnc.org/lccn/2015236599/1967-05-26/ed-1/seq-1/,,Latham Recieves National Office,application/pdf,"The Dean of Women, Louise M. Latham, obtained a national-level role as recording secretary in the North Carolina Association of Women Deans and Counselors",,NCCU Students and Staff,05-26-1967,,single-page; newspaper,The Dean of Women Became a Recording Secretary,"Durham, NC",,,,,DigitalNC.org,,,1967.05.26.1.lathamrecievesnationaloffice,https://rightsstatements.org/vocab/InC-EDU/1.0/,Educational Use,Text,eng,
nccucampusecho024,https://newspapers.digitalnc.org/lccn/2015236599/1967-05-26/ed-1/seq-1/,,NCC Begins Self-Study Program,application/pdf,"NCCU (once NCC) conducted a self-study of how well the college worked from a social, educational, and functional standpoint",,NCCU Students and Staff,05-26-1967,,single-page; newspaper,NCC Self Study Program,"Durham, NC",,,,,DigitalNC.org,,,1967.05.26.1.nccbegins self-studyprogram,https://rightsstatements.org/vocab/InC-EDU/1.0/,Educational Use,Text,eng,
nccucampusecho025,https://newspapers.digitalnc.org/lccn/2015236599/1967-05-26/ed-1/seq-1/,,Psi Chi Holds Installation Rites,application/pdf,"Psi Chi, the national honor society in psychology, held their spring installation ceremony",,NCCU Students and Staff,05-26-1967,,single-page; newspaper,Psi Chi Installation Rites,"Durham, NC",,,,,DigitalNC.org,,,1967.05.26.1.psichiholdsinstallationrites,https://rightsstatements.org/vocab/InC-EDU/1.0/,Educational Use,Text,eng,
nccucampusecho026,https://newspapers.digitalnc.org/lccn/2015236599/1967-05-26/ed-1/seq-2/,,Senator's Letter to Editor Calls for Draft End,application/pdf,Senator Hatifield declares why the military draft should end,U.S. Senator Mark O. Hattifield,NCCU Students and Staff,05-26-1967,,single-page; newspaper,Political Advertisement,"Durham, NC",,,,,DigitalNC.org,,,1967.05.26.2.senator'slettertoeditorcallsfordraftend,https://rightsstatements.org/vocab/InC-EDU/1.0/,Educational Use,Text,eng,
